STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN,TOBS
USW00094789,40.63915,-73.76401,3.4,1/1/2003,8.3,2.8,
USW00094789,40.63915,-73.76401,3.4,1/2/2003,3.9,-1.7,
USW00094789,40.63915,-73.76401,3.4,1/3/2003,3.3,-1.7,
USW00094789,40.63915,-73.76401,3.4,1/4/2003,2.8,-0.6,
USW00094789,40.63915,-73.76401,3.4,1/5/2003,2.2,-0.6,
USW00094789,40.63915,-73.76401,3.4,1/6/2003,1.1,-1.1,
USW00094789,40.63915,-73.76401,3.4,1/7/2003,-1.1,-3.3,
USW00094789,40.63915,-73.76401,3.4,1/8/2003,6.1,-2.2,
USW00094789,40.63915,-73.76401,3.4,1/9/2003,10.6,2.8,
USW00094789,40.63915,-73.76401,3.4,1/10/2003,7.8,0,
USW00094789,40.63915,-73.76401,3.4,1/11/2003,0,-3.9,
USW00094789,40.63915,-73.76401,3.4,1/12/2003,2.8,-4.4,
USW00094789,40.63915,-73.76401,3.4,1/13/2003,4.4,-3.9,
USW00094789,40.63915,-73.76401,3.4,1/14/2003,-1.1,-6.7,
USW00094789,40.63915,-73.76401,3.4,1/15/2003,-0.6,-6.1,
USW00094789,40.63915,-73.76401,3.4,1/16/2003,-1.1,-7.2,
USW00094789,40.63915,-73.76401,3.4,1/17/2003,-0.6,-11.1,
USW00094789,40.63915,-73.76401,3.4,1/18/2003,-6.7,-13.9,
USW00094789,40.63915,-73.76401,3.4,1/19/2003,-1.7,-8.3,
USW00094789,40.63915,-73.76401,3.4,1/20/2003,1.1,-7.2,
USW00094789,40.63915,-73.76401,3.4,1/21/2003,-2.8,-8.9,
USW00094789,40.63915,-73.76401,3.4,1/22/2003,-4.4,-11.7,
USW00094789,40.63915,-73.76401,3.4,1/23/2003,-6.1,-12.8,
USW00094789,40.63915,-73.76401,3.4,1/24/2003,-1.7,-13.3,
USW00094789,40.63915,-73.76401,3.4,1/25/2003,-1.1,-7.2,
USW00094789,40.63915,-73.76401,3.4,1/26/2003,1.1,-6.7,
USW00094789,40.63915,-73.76401,3.4,1/27/2003,-2.2,-13.3,
USW00094789,40.63915,-73.76401,3.4,1/28/2003,-3.9,-13.9,
USW00094789,40.63915,-73.76401,3.4,1/29/2003,0.6,-3.9,
USW00094789,40.63915,-73.76401,3.4,1/30/2003,1.1,-6.1,
USW00094789,40.63915,-73.76401,3.4,1/31/2003,2.8,-0.6,
USW00094789,40.63915,-73.76401,3.4,2/1/2003,2.2,1.1,
USW00094789,40.63915,-73.76401,3.4,2/2/2003,8.3,2.2,
USW00094789,40.63915,-73.76401,3.4,2/3/2003,9.4,1.7,
USW00094789,40.63915,-73.76401,3.4,2/4/2003,7.8,2.8,
USW00094789,40.63915,-73.76401,3.4,2/5/2003,2.8,-3.3,
USW00094789,40.63915,-73.76401,3.4,2/6/2003,-0.6,-6.1,
USW00094789,40.63915,-73.76401,3.4,2/7/2003,1.1,-4.4,
USW00094789,40.63915,-73.76401,3.4,2/8/2003,-2.8,-7.2,
USW00094789,40.63915,-73.76401,3.4,2/9/2003,1.7,-6.7,
USW00094789,40.63915,-73.76401,3.4,2/10/2003,2.2,-1.7,
USW00094789,40.63915,-73.76401,3.4,2/11/2003,0.6,-8.9,
USW00094789,40.63915,-73.76401,3.4,2/12/2003,0.6,-6.7,
USW00094789,40.63915,-73.76401,3.4,2/13/2003,-3.9,-8.3,
USW00094789,40.63915,-73.76401,3.4,2/14/2003,-1.7,-9.4,
USW00094789,40.63915,-73.76401,3.4,2/15/2003,-1.7,-10,
USW00094789,40.63915,-73.76401,3.4,2/16/2003,-8.9,-12.8,
USW00094789,40.63915,-73.76401,3.4,2/17/2003,-3.9,-8.9,
USW00094789,40.63915,-73.76401,3.4,2/18/2003,0.6,-5,
USW00094789,40.63915,-73.76401,3.4,2/19/2003,3.3,-6.7,
USW00094789,40.63915,-73.76401,3.4,2/20/2003,7.8,-1.1,
USW00094789,40.63915,-73.76401,3.4,2/21/2003,4.4,-5,
USW00094789,40.63915,-73.76401,3.4,2/22/2003,4.4,1.7,
USW00094789,40.63915,-73.76401,3.4,2/23/2003,6.7,-0.6,
USW00094789,40.63915,-73.76401,3.4,2/24/2003,2.8,-2.8,
USW00094789,40.63915,-73.76401,3.4,2/25/2003,0.6,-7.2,
USW00094789,40.63915,-73.76401,3.4,2/26/2003,-4.4,-8.9,
USW00094789,40.63915,-73.76401,3.4,2/27/2003,0.6,-6.7,
USW00094789,40.63915,-73.76401,3.4,2/28/2003,2.8,-2.2,
USW00094789,40.63915,-73.76401,3.4,3/1/2003,2.8,-2.2,
USW00094789,40.63915,-73.76401,3.4,3/2/2003,7.8,2.2,
USW00094789,40.63915,-73.76401,3.4,3/3/2003,4.4,-10.6,
USW00094789,40.63915,-73.76401,3.4,3/4/2003,2.8,-8.9,
USW00094789,40.63915,-73.76401,3.4,3/5/2003,10,0.6,
USW00094789,40.63915,-73.76401,3.4,3/6/2003,7.2,-6.7,
USW00094789,40.63915,-73.76401,3.4,3/7/2003,0,-10,
USW00094789,40.63915,-73.76401,3.4,3/8/2003,6.1,-1.7,
USW00094789,40.63915,-73.76401,3.4,3/9/2003,12.2,-5,
USW00094789,40.63915,-73.76401,3.4,3/10/2003,-1.1,-7.2,
USW00094789,40.63915,-73.76401,3.4,3/11/2003,2.2,-6.1,
USW00094789,40.63915,-73.76401,3.4,3/12/2003,7.8,-0.6,
USW00094789,40.63915,-73.76401,3.4,3/13/2003,8.9,-0.6,
USW00094789,40.63915,-73.76401,3.4,3/14/2003,1.7,-5.6,
USW00094789,40.63915,-73.76401,3.4,3/15/2003,7.2,0,
USW00094789,40.63915,-73.76401,3.4,3/16/2003,15.6,1.1,
USW00094789,40.63915,-73.76401,3.4,3/17/2003,20.6,7.8,
USW00094789,40.63915,-73.76401,3.4,3/18/2003,18.3,4.4,
USW00094789,40.63915,-73.76401,3.4,3/19/2003,5.6,1.1,
USW00094789,40.63915,-73.76401,3.4,3/20/2003,9.4,1.7,
USW00094789,40.63915,-73.76401,3.4,3/21/2003,13.3,7.2,
USW00094789,40.63915,-73.76401,3.4,3/22/2003,18.9,7.2,
USW00094789,40.63915,-73.76401,3.4,3/23/2003,15,5.6,
USW00094789,40.63915,-73.76401,3.4,3/24/2003,12.2,3.9,
USW00094789,40.63915,-73.76401,3.4,3/25/2003,10,3.9,
USW00094789,40.63915,-73.76401,3.4,3/26/2003,15,6.1,
USW00094789,40.63915,-73.76401,3.4,3/27/2003,14.4,5,
USW00094789,40.63915,-73.76401,3.4,3/28/2003,13.9,4.4,
USW00094789,40.63915,-73.76401,3.4,3/29/2003,16.7,8.9,
USW00094789,40.63915,-73.76401,3.4,3/30/2003,13.3,1.1,
USW00094789,40.63915,-73.76401,3.4,3/31/2003,6.7,0,
USW00094789,40.63915,-73.76401,3.4,4/1/2003,6.1,-1.1,
USW00094789,40.63915,-73.76401,3.4,4/2/2003,12.8,3.9,
USW00094789,40.63915,-73.76401,3.4,4/3/2003,11.1,5,
USW00094789,40.63915,-73.76401,3.4,4/4/2003,6.1,2.2,
USW00094789,40.63915,-73.76401,3.4,4/5/2003,6.1,2.2,
USW00094789,40.63915,-73.76401,3.4,4/6/2003,8.9,1.1,
USW00094789,40.63915,-73.76401,3.4,4/7/2003,2.8,-1.1,
USW00094789,40.63915,-73.76401,3.4,4/8/2003,3.9,0,
USW00094789,40.63915,-73.76401,3.4,4/9/2003,3.3,1.1,
USW00094789,40.63915,-73.76401,3.4,4/10/2003,10,1.7,
